Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:45:37 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.22    0.00    2.04    3.06    0.00   94.68

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdr              21.00     0.00  372.00    0.00 99584.00     0.00   535.40   143.17  383.34  383.34    0.00   2.69 100.00
sds              18.00     0.00  335.00    0.00 88832.00     0.00   530.34   143.48  434.89  434.89    0.00   2.99 100.00
sdt              12.00     0.00  327.00    2.00 86784.00  2048.00   540.01   143.63  453.50  452.94  546.00   3.04 100.00
sdu              10.00     0.00  343.00    0.00 91136.00     0.00   531.41   143.52  404.83  404.83    0.00   2.92 100.00
sdv              23.00     0.00  375.00    0.00 101120.00     0.00   539.31   143.67  382.95  382.95    0.00   2.67 100.00
sdw              13.00     0.00  330.00    0.00 87040.00     0.00   527.52   143.32  431.68  431.68    0.00   3.03 100.00
sdx              15.00     0.00  327.00    0.00 87296.00     0.00   533.92   143.32  433.26  433.26    0.00   3.06 100.00
sdy              11.00     0.00  327.00    0.00 87296.00     0.00   533.92   143.76  451.08  451.08    0.00   3.06 100.00
sdz              18.00     0.00  341.00    0.00 92928.00     0.00   545.03   143.75  432.41  432.41    0.00   2.93 100.00
sdaa             21.00     0.00  363.00    0.00 98304.00     0.00   541.62   143.15  376.85  376.85    0.00   2.75 100.00
sdab             17.00     0.00  376.00    0.00 100608.00     0.00   535.15   143.11  378.68  378.68    0.00   2.66 100.00
sdac             19.00     0.00  331.00    0.00 90368.00     0.00   546.03   143.16  432.14  432.14    0.00   3.02 100.00
sdad             19.00     0.00  331.00    0.00 89088.00     0.00   538.30   142.97  432.85  432.85    0.00   3.02 100.00
sdae             14.00     0.00  388.00    0.00 102912.00     0.00   530.47   143.53  359.19  359.19    0.00   2.58 100.00
sdaf             18.00     0.00  330.00    0.00 88320.00     0.00   535.27   143.80  431.15  431.15    0.00   3.03 100.00
sdag             13.00     0.00  372.00    0.00 100352.00     0.00   539.53   143.31  392.62  392.62    0.00   2.69 100.10

02/07/2019 07:45:43 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.01    0.00    0.49   19.80    0.00   79.70

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb              24.00     2.00  392.00    0.00 105728.00     0.00   539.43   143.53  366.76  366.76    0.00   2.55 100.00
sdc              15.00     2.00  342.00    0.00 90624.00     0.00   529.96   143.53  415.62  415.62    0.00   2.92 100.00
sdd              26.00     2.00  362.00    0.00 99584.00     0.00   550.19   143.86  395.05  395.05    0.00   2.76 100.00
sde              14.00     2.00  374.00    0.00 100608.00     0.00   538.01   143.55  376.63  376.63    0.00   2.67 100.00
sdf              17.00     2.00  368.00    0.00 98560.00     0.00   535.65   143.04  374.46  374.46    0.00   2.72 100.00
sdg              25.00     2.00  367.00    0.00 100608.00     0.00   548.27   143.53  402.51  402.51    0.00   2.72 100.00
sdh              34.00     2.00  359.00    0.00 99328.00     0.00   553.36   143.48  390.03  390.03    0.00   2.79 100.10
sdi              15.00     3.00  325.00    0.00 88064.00     0.00   541.93   143.44  430.42  430.42    0.00   3.08 100.10
sdj              14.00     2.00  332.00    0.00 88576.00     0.00   533.59   143.67  438.53  438.53    0.00   3.01 100.00
sdk              16.00     2.00  321.00    0.00 87552.00     0.00   545.50   143.46  457.39  457.39    0.00   3.12 100.00
sdl              16.00     2.00  326.00    0.00 88064.00     0.00   540.27   143.29  447.59  447.59    0.00   3.07 100.00
sdm              22.00     2.00  319.00    0.00 87040.00     0.00   545.71   143.55  446.91  446.91    0.00   3.13 100.00
