Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:46:39 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.21    0.00    2.00    3.40    0.00   94.39

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdf               2.00    13.00  381.00  365.00 98048.00 96256.00   520.92   144.43  188.05   62.73  318.86   1.34 100.00
sdg               4.00    12.00  336.00  333.00 87040.00 88576.00   525.01   143.41  222.32   80.37  365.54   1.49 100.00
sdh               0.00    13.00  349.00  346.00 89344.00 90900.00   518.69   143.28  229.05   70.26  389.21   1.44 100.00
sdi               7.00    23.00  505.00  400.00 131584.00 106500.00   526.15   143.54  150.06   58.53  265.61   1.10 100.00
sdj               1.00    20.00  420.00  395.00 107776.00 108544.00   530.85   143.16  157.09   58.94  261.47   1.23 100.00
sdk               1.00    13.00  378.00  318.00 97024.00 86272.00   526.71   143.35  204.38   76.19  356.77   1.44 100.00
sdl               0.00    14.00  319.00  350.00 81664.00 92416.00   520.42   144.38  218.20   69.95  353.31   1.49 100.00
sdm               4.00    11.00  349.00  304.00 90368.00 80128.00   522.19   142.44  216.69   72.18  382.58   1.53 100.00
sdn               2.00    32.00  482.00  422.00 123904.00 114944.00   528.42   142.62  143.29   54.06  245.22   1.11 100.00
sdo               2.00    16.00  346.00  317.00 89088.00 83712.00   521.27   143.35  231.03   80.85  394.95   1.51 100.00
sdp               1.00    14.00  319.00  264.00 81920.00 70656.00   523.42   142.50  229.32   87.42  400.77   1.72 100.10
sdq               4.00    14.00  349.00  325.00 90368.00 86784.00   525.67   142.33  227.71   66.34  401.00   1.48 100.00
sdr               1.00    13.00  338.00  304.00 86784.00 81920.00   525.56   143.77  236.80   77.51  413.91   1.56 100.00
sds               1.00    10.00  318.00  321.00 81664.00 83968.00   518.41   142.34  237.76   80.35  393.70   1.56 100.00
sdt               3.00    12.00  291.00  268.00 75008.00 70912.00   522.08   147.96  272.88  107.53  452.43   1.79 100.00
sdu               2.00    13.00  315.00  312.00 81152.00 82432.00   521.80   142.19  223.61   71.03  377.65   1.59 100.00
sdv               1.00    18.00  411.00  361.00 105728.00 96512.00   523.94   140.78  185.92   50.32  340.31   1.30 100.00
sdw               5.00    16.00  363.00  377.00 94208.00 98560.00   520.99   143.93  187.93   64.45  306.83   1.35 100.00
sdx               1.00     8.00  319.00  313.00 81920.00 82944.00   521.72   143.75  223.21   75.09  374.16   1.58 100.00
sdy               1.00    15.00  368.00  349.00 94208.00 92928.00   522.00   140.96  198.54   63.48  340.95   1.39 100.00
sdz               1.00    10.00  363.00  351.00 93184.00 93440.00   522.76   143.10  202.36   63.83  345.62   1.40 100.00
sdaa              3.00    22.00  361.00  326.00 92672.00 89344.00   529.89   142.41  215.98   70.01  377.61   1.46 100.00
sdab              3.00     6.00  264.00  268.00 68608.00 70400.00   522.59   140.63  286.83   83.37  487.25   1.88 100.00
