Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:48:42 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.24    0.00    1.99    4.25    0.00   93.52

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdz              12.00     0.00 23774.00    4.00 95148.00  4096.00     8.35   140.71    5.91    5.91   16.75   0.04 100.00
sdaa              7.00     0.00 13285.00    4.00 53168.00  4096.00     8.62   141.98   10.67   10.67   19.50   0.08 100.00
sdab              1.00     0.00 8767.00    4.00 35072.00  4096.00     8.93   142.24   16.25   16.24   19.50   0.11  99.90
sdac              7.00     0.00 22928.00    4.00 91740.00  4096.00     8.36   140.30    6.12    6.11   11.75   0.04  99.90
sdad             12.00     0.00 23046.00    4.00 92232.00  4096.00     8.36   140.82    6.10    6.10   13.25   0.04 100.10
sdae              3.00     0.00 8894.00    2.00 35588.00  2048.00     8.46   143.55   16.17   16.17   26.00   0.11 100.00
sdaf             13.00     0.00 23559.00    2.00 94292.00  2048.00     8.18   140.64    5.95    5.95   16.00   0.04 100.00
sdag              4.00     0.00 7923.00    2.00 31708.00  2048.00     8.52   142.50   17.90   17.90   29.50   0.13 100.00

02/07/2019 07:48:46 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.05    0.00   18.66   12.61    0.00   67.68

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               5.00     0.00 27002.00    4.00 108028.00  4096.00     8.30   139.94    5.18    5.18   10.50   0.04 100.10
sdc              16.00     0.00 25185.00    4.00 100808.00  4096.00     8.33   140.39    5.58    5.58   14.75   0.04 100.10
sdd              19.00     0.00 25826.00    4.00 103380.00  4096.00     8.32   140.29    5.43    5.43   11.50   0.04 100.00
sde              13.00     0.00 18655.00    4.00 74672.00  4096.00     8.44   141.10    7.57    7.57   14.50   0.05 100.00
