Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:49:43 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.26    0.00    2.34    4.43    0.00   92.97

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdm               1.00     9.00 13132.00 13061.00 52532.00 54320.00     8.16   140.59    5.36    2.09    8.65   0.04 100.10
sdn               0.00    14.00 13818.00 13751.00 55272.00 57100.00     8.15   139.21    5.06    1.95    8.18   0.04 100.00
sdo               0.00     0.00 4702.00 4769.00 18808.00 21116.00     8.43     9.09    0.96    0.89    1.03   0.10  94.80
sdp               0.00     7.00 13133.00 13232.00 52532.00 54996.00     8.16   139.68    5.30    2.06    8.52   0.04 100.00
sdq               2.00     7.00 12053.00 11787.00 48220.00 49216.00     8.17   140.22    5.89    2.27    9.59   0.04  99.90
sdr               0.00     3.00 10214.00 10165.00 40856.00 42712.00     8.20   140.98    6.92    2.62   11.25   0.05  99.90
sds               0.00     4.00 13022.00 13130.00 52088.00 54576.00     8.16   139.19    5.33    2.06    8.57   0.04 100.00
sdt               0.00    13.00 13170.00 13016.00 52680.00 54156.00     8.16   139.80    5.33    2.06    8.65   0.04 100.00
sdu               1.00     9.00 13166.00 13314.00 52668.00 55332.00     8.16   140.13    5.28    2.01    8.52   0.04 100.10
sdv               2.00     7.00 12595.00 12557.00 50388.00 52296.00     8.17   140.24    5.58    2.12    9.04   0.04 100.00
sdw               3.00     3.00 11860.00 11770.00 47452.00 49132.00     8.17   139.97    5.93    2.28    9.61   0.04 100.00
sdx               1.00     1.00 6132.00 6204.00 24532.00 26864.00     8.33   143.31   11.62    4.65   18.51   0.08 100.10
sdy               0.00     8.00 13648.00 13503.00 54588.00 56084.00     8.15   139.38    5.13    1.99    8.31   0.04 100.10
sdz               1.00     9.00 13293.00 13302.00 53176.00 55284.00     8.16   139.88    5.26    2.04    8.47   0.04 100.00
sdaa              0.00     5.00 7669.00 7803.00 30676.00 33272.00     8.27   141.24    9.11    3.47   14.66   0.06 100.10
sdab              0.00     2.00 5172.00 5051.00 20688.00 22252.00     8.40   141.72   13.78    5.55   22.21   0.10 100.00
sdac              1.00    16.00 12095.00 12273.00 48384.00 51196.00     8.17   140.19    5.76    2.17    9.30   0.04 100.00
sdad              0.00     6.00 13264.00 13425.00 53056.00 55764.00     8.15   138.86    5.20    2.00    8.35   0.04 100.00
sdae              2.00     5.00 8142.00 8151.00 32576.00 34664.00     8.25   140.98    8.65    3.25   14.05   0.06 100.00
sdaf              1.00     9.00 12499.00 12338.00 49996.00 51428.00     8.17   140.41    5.65    2.17    9.16   0.04 100.00
sdag              0.00     6.00 6126.00 6140.00 24504.00 26624.00     8.34   142.16   11.59    4.47   18.70   0.08 100.00

02/07/2019 07:49:49 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.56    0.00   18.81   10.75    0.00   68.88

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               1.00    11.00 12739.00 12565.00 50960.00 54384.00     8.33   122.49    4.83    2.06    7.63   0.04  99.90
sdc               1.00     8.00 13425.00 13312.00 53704.00 57360.00     8.31   139.58    5.22    1.96    8.51   0.04 100.20
sdd               0.00    10.00 12906.00 12816.00 51624.00 53344.00     8.16   119.51    4.64    1.90    7.41   0.04 100.10
sde               1.00     8.00 8177.00 8364.00 32712.00 35528.00     8.25   141.18    8.53    3.32   13.62   0.06 100.10
sdf               0.00     6.00 5099.00 5055.00 20396.00 22288.00     8.41   141.66   13.98    5.63   22.41   0.10 100.00
