Linux 4.14.35-1844.1.3.el7uek.x86_64 (instance-20190207-1400) 	02/07/2019 	_x86_64_	(104 CPU)

02/07/2019 07:47:40 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.23    0.00    2.01    3.80    0.00   93.96

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdg               0.00    12.00    0.00  270.00     0.00 71424.00   529.07   143.44  478.15    0.00  478.15   3.70 100.00
sdh               0.00     5.00    0.00  213.00     0.00 56576.00   531.23   143.70  663.24    0.00  663.24   4.69 100.00
sdi               0.00    32.00    0.00  802.00     0.00 214528.00   534.98   142.48  177.20    0.00  177.20   1.25 100.00
sdj               0.00    41.00    0.00  793.00     0.00 214272.00   540.41   142.34  178.61    0.00  178.61   1.26 100.00
sdk               0.00    19.00    0.00  396.00     0.00 103936.00   524.93   142.62  346.73    0.00  346.73   2.53 100.00
sdl               0.00    15.00    0.00  281.00     0.00 74752.00   532.04   143.60  464.12    0.00  464.12   3.56 100.00
sdm               0.00    20.00    0.00  247.00     0.00 67072.00   543.09   143.15  525.33    0.00  525.33   4.05 100.00
sdn               0.00    42.00    0.00  792.00     0.00 212224.00   535.92   142.60  173.63    0.00  173.63   1.26 100.00
sdo               0.00     7.00    0.00  311.00     0.00 81664.00   525.17   143.05  446.27    0.00  446.27   3.22 100.00
sdp               0.00     5.00    0.00  225.00     0.00 59136.00   525.65   143.07  567.90    0.00  567.90   4.44 100.00
sdq               0.00     6.00    0.00  166.00     0.00 44032.00   530.51   143.22  798.16    0.00  798.16   6.02 100.00
sdr               0.00     9.00    0.00  214.00     0.00 56832.00   531.14   143.57  623.06    0.00  623.06   4.67 100.00
sds               0.00     7.00    0.00  197.00     0.00 51200.00   519.80   143.34  722.89    0.00  722.89   5.08 100.00
sdt               0.00     9.00    0.00  274.00     0.00 73216.00   534.42   142.87  437.70    0.00  437.70   3.65 100.10
sdu               0.00    10.00    0.00  244.00     0.00 63488.00   520.39   142.81  608.19    0.00  608.19   4.10 100.10
sdv               0.00     9.00    0.00  271.00     0.00 71680.00   529.00   143.26  375.68    0.00  375.68   3.69 100.10
sdw               0.00    14.00    0.00  411.00     0.00 106752.00   519.47   142.72  325.63    0.00  325.63   2.44 100.10
sdx               0.00     9.00    0.00  213.00     0.00 56320.00   528.83   143.25  609.53    0.00  609.53   4.70 100.10
sdy               0.00    36.00    0.00  791.00     0.00 213248.00   539.19   142.50  176.95    0.00  176.95   1.26 100.00
sdz               0.00    13.00    0.00  314.00     0.00 82688.00   526.68   143.06  382.42    0.00  382.42   3.18 100.00
sdaa              0.00     3.00    0.00  164.00     0.00 42496.00   518.24   143.22  744.38    0.00  744.38   6.10 100.00
sdab              0.00    12.00    0.00  227.00     0.00 59136.00   521.02   143.62  613.63    0.00  613.63   4.41 100.00
sdac              0.00     6.00    0.00  289.00     0.00 75520.00   522.63   143.28  479.15    0.00  479.15   3.46 100.00
sdad              0.00     3.00    0.00  205.00     0.00 52992.00   517.00   142.66  689.73    0.00  689.73   4.88 100.00
sdae              0.00     6.00    0.00  284.00     0.00 75008.00   528.23   143.00  512.68    0.00  512.68   3.52 100.00
sdaf              0.00    44.00    0.00  788.00     0.00 213248.00   541.24   142.78  187.34    0.00  187.34   1.27 100.00
sdag              0.00    12.00    0.00  418.00     0.00 110336.00   527.92   142.76  357.59    0.00  357.59   2.39 100.00

02/07/2019 07:47:44 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.69    0.00    1.18   21.32    0.00   76.81

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00     8.00    0.00  277.00     0.00 72192.00   521.24   143.00  512.22    0.00  512.22   3.61 100.00
sdc               0.00    24.00    0.00  397.00     0.00 107776.00   542.95   142.69  353.78    0.00  353.78   2.52 100.00
sdd               0.00    11.00    0.00  269.00     0.00 71424.00   531.03   143.09  529.78    0.00  529.78   3.72 100.00
sde               0.00    10.00    0.00  282.00     0.00 73984.00   524.71   143.36  509.11    0.00  509.11   3.55 100.00
sdf               0.00     9.00    0.00  240.00     0.00 63488.00   529.07   143.74  560.08    0.00  560.08   4.17 100.00
sdg               0.00     9.00    0.00  266.00     0.00 71680.00   538.95   142.77  614.89    0.00  614.89   3.76 100.00
sdh               0.00     4.00    0.00  217.00     0.00 56576.00   521.44   143.24  657.63    0.00  657.63   4.61 100.00
sdi               0.00    51.00    0.00  788.00     0.00 213504.00   541.89   142.56  179.25    0.00  179.25   1.27 100.00
sdj               0.00    64.00    0.00  779.00     0.00 212480.00   545.52   142.64  183.46    0.00  183.46   1.28 100.00
sdk               0.00    21.00    0.00  388.00     0.00 105216.00   542.35   143.29  349.41    0.00  349.41   2.58 100.00
sdl               0.00    13.00    0.00  279.00     0.00 75008.00   537.69   143.24  550.89    0.00  550.89   3.58 100.00
sdm               0.00     5.00    0.00  248.00     0.00 67072.00   540.90   142.92  628.11    0.00  628.11   4.03 100.00
sdn               0.00    51.00    0.00  786.00     0.00 214784.00   546.52   142.66  184.71    0.00  184.71   1.27 100.00
sdo               0.00     9.00    0.00  312.00     0.00 82176.00   526.77   143.29  460.57    0.00  460.57   3.21 100.00
sdp               0.00     6.00    0.00  226.00     0.00 59392.00   525.59   143.34  621.84    0.00  621.84   4.42 100.00
sdq               0.00     5.00    0.00  173.00     0.00 46080.00   532.72   143.34  818.23    0.00  818.23   5.78 100.00
sdr               0.00     7.00    0.00  207.00     0.00 54272.00   524.37   143.00  628.97    0.00  628.97   4.83 100.00
sds               0.00     8.00    0.00  192.00     0.00 51712.00   538.67   143.34  764.37    0.00  764.37   5.21 100.00
sdt               0.00     6.00    0.00  281.00     0.00 73472.00   522.93   143.41  587.88    0.00  587.88   3.56 100.00
sdu               0.00    11.00    0.00  232.00     0.00 63232.00   545.10   143.56  615.49    0.00  615.49   4.31 100.00
sdv               0.00    12.00    0.00  266.00     0.00 70912.00   533.17   143.12  712.14    0.00  712.14   3.76 100.00
sdw               0.00     8.00    0.00  395.00     0.00 106496.00   539.22   142.98  391.14    0.00  391.14   2.53 100.00
sdx               0.00     8.00    0.00  203.00     0.00 55552.00   547.31   143.75  705.13    0.00  705.13   4.93 100.00
sdy               0.00    48.00    0.00  790.00     0.00 213248.00   539.87   142.51  181.54    0.00  181.54   1.27 100.00
sdz               0.00    11.00    0.00  311.00     0.00 83968.00   539.99   143.07  556.41    0.00  556.41   3.22 100.00
sdaa              0.00     3.00    0.00  165.00     0.00 43008.00   521.31   143.46  690.46    0.00  690.46   6.06 100.00
sdab              0.00     9.00    0.00  220.00     0.00 59648.00   542.25   143.29  663.65    0.00  663.65   4.55 100.00
sdac              0.00    10.00    0.00  286.00     0.00 75008.00   524.53   143.01  524.69    0.00  524.69   3.50 100.00
sdad              0.00    11.00    0.00  210.00     0.00 55040.00   524.19   144.15  647.21    0.00  647.21   4.76 100.00
sdae              0.00    13.00    0.00  286.00     0.00 75520.00   528.11   143.17  488.57    0.00  488.57   3.50 100.00
sdaf              0.00    47.00    0.00  795.00     0.00 213504.00   537.12   142.67  185.09    0.00  185.09   1.26 100.00
sdag              0.00    20.00    0.00  406.00     0.00 109056.00   537.22   142.44  338.38    0.00  338.38   2.46 100.00

02/07/2019 07:47:45 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.67    0.00    1.13   21.54    0.00   76.66

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00    10.00    0.00  272.00     0.00 72960.00   536.47   143.15  535.73    0.00  535.73   3.68 100.00
sdc               0.00    24.00    0.00  400.00     0.00 107008.00   535.04   143.53  368.84    0.00  368.84   2.50 100.00
sdd               0.00     9.00    0.00  269.00     0.00 70912.00   527.23   143.38  518.86    0.00  518.86   3.72 100.00
sde               0.00     6.00    0.00  277.00     0.00 73728.00   532.33   142.79  501.20    0.00  501.20   3.61 100.00
sdf               0.00     5.00    0.00  239.00     0.00 63232.00   529.14   143.27  594.50    0.00  594.50   4.18 100.00
sdg               0.00    11.00    0.00  267.00     0.00 70656.00   529.26   143.39  542.07    0.00  542.07   3.75 100.00
sdh               0.00     6.00    0.00  219.00     0.00 57344.00   523.69   143.16  664.72    0.00  664.72   4.57 100.00
sdi               0.00    85.00    0.00  757.00     0.00 213504.00   564.08   142.47  189.14    0.00  189.14   1.32 100.00
sdj               0.00    89.00    0.00  753.00     0.00 214528.00   569.80   142.69  182.95    0.00  182.95   1.33 100.00
sdk               0.00    33.00    0.00  381.00     0.00 104192.00   546.94   142.73  390.39    0.00  390.39   2.62 100.00
sdl               0.00    12.00    0.00  280.00     0.00 74752.00   533.94   142.69  511.36    0.00  511.36   3.57 100.00
sdm               0.00    11.00    0.00  255.00     0.00 67072.00   526.05   143.28  567.09    0.00  567.09   3.92 100.00
sdn               0.00    72.00    0.00  772.00     0.00 212992.00   551.79   142.62  182.73    0.00  182.73   1.30 100.00
sdo               0.00    15.00    0.00  308.00     0.00 81920.00   531.95   142.93  486.26    0.00  486.26   3.25 100.00
sdp               0.00     9.00    0.00  227.00     0.00 60160.00   530.04   143.34  579.16    0.00  579.16   4.41 100.00
sdq               0.00     1.00    0.00  160.00     0.00 42496.00   531.20   143.00  897.36    0.00  897.36   6.25 100.00
sdr               0.00     7.00    0.00  212.00     0.00 57344.00   540.98   143.84  702.01    0.00  702.01   4.72 100.00
sds               0.00     9.00    0.00  193.00     0.00 51200.00   530.57   142.84  701.59    0.00  701.59   5.18 100.00
sdt               0.00     6.00    0.00  277.00     0.00 72960.00   526.79   143.29  520.05    0.00  520.05   3.61  99.90
sdu               0.00    12.00    0.00  237.00     0.00 62976.00   531.44   143.21  583.24    0.00  583.24   4.22  99.90
sdv               0.00    10.00    0.00  263.00     0.00 71936.00   547.04   142.58  553.23    0.00  553.23   3.80  99.90
sdw               0.00    23.00    0.00  400.00     0.00 106752.00   533.76   142.40  363.77    0.00  363.77   2.50  99.90
sdx               0.00    10.00    0.00  207.00     0.00 56320.00   544.15   141.88  643.16    0.00  643.16   4.83  99.90
sdy               0.00    55.00    0.00  768.00     0.00 212224.00   552.67   137.66  188.45    0.00  188.45   1.30  99.90
sdz               0.00    15.00    0.00  309.00     0.00 82176.00   531.88   142.09  454.01    0.00  454.01   3.24 100.00
sdaa              0.00     5.00    0.00  159.00     0.00 42240.00   531.32   143.25 1098.17    0.00 1098.17   6.29 100.00
sdab              0.00     9.00    0.00  224.00     0.00 59392.00   530.29   143.04  640.30    0.00  640.30   4.46 100.00
sdac              0.00    13.00    0.00  281.00     0.00 75264.00   535.69   143.33  514.16    0.00  514.16   3.56 100.00
sdad              0.00     5.00    0.00  199.00     0.00 53760.00   540.30   143.22  692.13    0.00  692.13   5.03 100.00
sdae              0.00    18.00    0.00  276.00     0.00 75520.00   547.25   142.71  519.35    0.00  519.35   3.62 100.00
sdaf              0.00    81.00    0.00  754.00     0.00 213504.00   566.32   142.16  188.19    0.00  188.19   1.33 100.00
sdag              0.00    17.00    0.00  410.00     0.00 109824.00   535.73   142.93  326.16    0.00  326.16   2.44 100.00

02/07/2019 07:47:46 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.67    0.00    1.12   26.50    0.00   71.71

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdb               0.00    13.00    0.00  282.00     0.00 73232.00   519.38   114.74  439.16    0.00  439.16   3.55 100.00
sdc               0.00    22.00    0.00  400.00     0.00 107280.00   536.40   119.71  308.86    0.00  308.86   2.50 100.00
sdd               0.00    11.00    0.00  272.00     0.00 71184.00   523.41   109.10  475.79    0.00  475.79   3.68 100.00
sde               0.00    21.00    0.00  275.00     0.00 72208.00   525.15   135.83  493.75    0.00  493.75   3.64 100.00
sdf               0.00    12.00    0.00  243.00     0.00 63504.00   522.67   108.17  563.42    0.00  563.42   4.12 100.00
sdg               0.00     8.00    0.00  272.00     0.00 72464.00   532.82   132.06  495.79    0.00  495.79   3.68 100.00
sdh               0.00     7.00    0.00  225.00     0.00 58128.00   516.69   114.95  577.86    0.00  577.86   4.44 100.00
sdi               0.00   108.00    0.00  740.00     0.00 213264.00   576.39   139.86  183.50    0.00  183.50   1.35 100.00
sdj               0.00   102.00    0.00  735.00     0.00 213264.00   580.31   137.31  192.42    0.00  192.42   1.36 100.00
sdk               0.00    30.00    0.00  378.00     0.00 104720.00   554.07   131.14  374.13    0.00  374.13   2.65 100.00
sdl               0.00    10.00    0.00  287.00     0.00 75280.00   524.60   128.27  461.74    0.00  461.74   3.48 100.00
sdm               0.00    12.00    0.00  248.00     0.00 66064.00   532.77   120.65  508.44    0.00  508.44   4.03 100.00
sdn               0.00    84.00    0.00  741.00     0.00 211216.00   570.08   129.27  176.97    0.00  176.97   1.35 100.00
